IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
209.146.112.79,443,true,LAX,北美洲,美国洛杉矶,5 ms,64847 kB/s
38.95.76.190,443,true,LAX,北美洲,美国洛杉矶,0 ms,59348 kB/s
209.146.114.220,17772,true,LAX,北美洲,美国洛杉矶,4 ms,58507 kB/s
38.165.21.218,46255,true,LAX,北美洲,美国洛杉矶,0 ms,57255 kB/s
23.236.68.117,45387,true,LAX,北美洲,美国洛杉矶,14 ms,56858 kB/s
38.165.23.152,49081,true,LAX,北美洲,美国洛杉矶,0 ms,55438 kB/s
38.165.20.206,443,true,LAX,北美洲,美国洛杉矶,5 ms,51828 kB/s
209.146.114.158,32938,true,LAX,北美洲,美国洛杉矶,1 ms,49716 kB/s
38.95.77.18,48713,true,LAX,北美洲,美国洛杉矶,0 ms,49447 kB/s
38.165.23.211,443,true,LAX,北美洲,美国洛杉矶,3 ms,48539 kB/s
38.165.21.68,35957,true,LAX,北美洲,美国洛杉矶,0 ms,47561 kB/s
38.165.21.82,3333,true,LAX,北美洲,美国洛杉矶,2 ms,46422 kB/s
38.147.161.110,18014,true,LAX,北美洲,美国洛杉矶,30 ms,45634 kB/s
38.165.23.152,17261,true,LAX,北美洲,美国洛杉矶,2 ms,45400 kB/s
38.165.23.193,57659,true,LAX,北美洲,美国洛杉矶,0 ms,45208 kB/s
209.146.114.158,51097,true,LAX,北美洲,美国洛杉矶,1 ms,43522 kB/s
38.165.20.158,443,true,LAX,北美洲,美国洛杉矶,0 ms,43405 kB/s
38.147.161.110,50445,true,LAX,北美洲,美国洛杉矶,1 ms,43210 kB/s
209.146.114.220,29520,true,LAX,北美洲,美国洛杉矶,2 ms,42952 kB/s
38.165.23.165,33578,true,LAX,北美洲,美国洛杉矶,0 ms,42951 kB/s
209.146.114.93,44321,true,LAX,北美洲,美国洛杉矶,4 ms,42474 kB/s
38.165.23.211,80,true,LAX,北美洲,美国洛杉矶,0 ms,42040 kB/s
38.165.23.152,25480,true,LAX,北美洲,美国洛杉矶,5 ms,41294 kB/s
38.165.23.152,12575,true,LAX,北美洲,美国洛杉矶,3 ms,41278 kB/s
38.165.23.152,19140,true,LAX,北美洲,美国洛杉矶,8 ms,40116 kB/s
38.165.23.165,53973,true,LAX,北美洲,美国洛杉矶,0 ms,39652 kB/s
38.147.161.152,2222,true,LAX,北美洲,美国洛杉矶,16 ms,38680 kB/s
209.146.113.72,12364,true,LAX,北美洲,美国洛杉矶,0 ms,37817 kB/s
38.165.23.152,21149,true,LAX,北美洲,美国洛杉矶,3 ms,37774 kB/s
209.146.113.43,57123,true,LAX,北美洲,美国洛杉矶,5 ms,37458 kB/s
38.165.23.165,50342,true,LAX,北美洲,美国洛杉矶,1 ms,37449 kB/s
38.165.23.165,21434,true,LAX,北美洲,美国洛杉矶,0 ms,36540 kB/s
38.95.77.83,33325,true,LAX,北美洲,美国洛杉矶,2 ms,36057 kB/s
38.165.23.165,10011,true,LAX,北美洲,美国洛杉矶,4 ms,35557 kB/s
38.147.160.49,26977,true,LAX,北美洲,美国洛杉矶,2 ms,34811 kB/s
38.165.23.152,46645,true,LAX,北美洲,美国洛杉矶,0 ms,33390 kB/s
38.165.23.100,8686,true,SJC,北美洲,美国圣何塞,1 ms,32838 kB/s
38.165.23.124,35878,true,LAX,北美洲,美国洛杉矶,0 ms,32707 kB/s
38.165.23.152,56363,true,LAX,北美洲,美国洛杉矶,0 ms,31604 kB/s
38.165.23.124,35877,true,LAX,北美洲,美国洛杉矶,4 ms,30536 kB/s
38.165.21.82,8888,true,LAX,北美洲,美国洛杉矶,2 ms,25743 kB/s
38.165.23.193,51570,true,LAX,北美洲,美国洛杉矶,1 ms,24015 kB/s
38.165.21.105,443,true,LAX,北美洲,美国洛杉矶,0 ms,22962 kB/s
209.146.114.244,28893,true,LAX,北美洲,美国洛杉矶,3 ms,22662 kB/s
209.146.115.41,8080,true,LAX,北美洲,美国洛杉矶,3 ms,22538 kB/s
209.146.114.199,42052,true,LAX,北美洲,美国洛杉矶,1 ms,22277 kB/s
209.146.113.124,11123,true,SJC,北美洲,美国圣何塞,2 ms,22264 kB/s
209.146.114.218,49834,true,LAX,北美洲,美国洛杉矶,0 ms,22213 kB/s
209.146.113.116,2804,true,LAX,北美洲,美国洛杉矶,4 ms,21976 kB/s
209.146.114.54,42061,true,LAX,北美洲,美国洛杉矶,0 ms,21748 kB/s
209.146.114.41,25036,true,LAX,北美洲,美国洛杉矶,4 ms,21699 kB/s
209.146.114.30,59791,true,LAX,北美洲,美国洛杉矶,1 ms,21599 kB/s
167.88.180.81,443,true,LAX,北美洲,美国洛杉矶,2 ms,21538 kB/s
209.146.114.103,15902,true,LAX,北美洲,美国洛杉矶,0 ms,21394 kB/s
38.165.23.165,44073,true,LAX,北美洲,美国洛杉矶,4 ms,21092 kB/s
23.236.67.144,27015,true,LAX,北美洲,美国洛杉矶,5 ms,20813 kB/s
38.165.23.165,10937,true,LAX,北美洲,美国洛杉矶,3 ms,16391 kB/s
38.95.76.32,11443,true,LAX,北美洲,美国洛杉矶,1 ms,12881 kB/s
103.247.28.5,51000,true,LAS,北美洲,Las Vegas,156 ms,11807 kB/s
38.147.160.63,8863,true,LAX,北美洲,美国洛杉矶,0 ms,11527 kB/s
38.147.160.86,21931,true,LAX,北美洲,美国洛杉矶,0 ms,11111 kB/s
23.236.66.153,443,true,LAX,北美洲,美国洛杉矶,1 ms,11063 kB/s
23.236.67.228,44901,true,LAX,北美洲,美国洛杉矶,0 ms,10556 kB/s
