IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
38.148.249.132,9527,TRUE,LAX,北美洲,美国洛杉矶,148 ms,15202 kB/s
38.85.247.121,50002,TRUE,LAX,北美洲,美国洛杉矶,149 ms,15015 kB/s
38.85.247.60,2025,TRUE,LAX,北美洲,美国洛杉矶,147 ms,14638 kB/s
23.185.168.144,8602,TRUE,LAX,北美洲,美国洛杉矶,145 ms,14243 kB/s
154.23.243.222,9527,TRUE,LAX,北美洲,美国洛杉矶,149 ms,13006 kB/s
23.169.184.28,10148,TRUE,LAX,北美洲,美国洛杉矶,146 ms,12473 kB/s
154.23.243.220,9527,TRUE,LAX,北美洲,美国洛杉矶,189 ms,10579 kB/s
154.23.243.221,9527,TRUE,LAX,北美洲,美国洛杉矶,199 ms,10166 kB/s
38.60.91.15,9527,TRUE,LAX,北美洲,美国洛杉矶,174 ms,10023 kB/s
38.148.249.129,9527,TRUE,LAX,北美洲,美国洛杉矶,172 ms,9244 kB/s
38.148.249.171,9527,TRUE,LAX,北美洲,美国洛杉矶,210 ms,9122 kB/s
23.185.200.148,9527,TRUE,LAX,北美洲,美国洛杉矶,176 ms,9119 kB/s
38.148.249.176,9527,TRUE,LAX,北美洲,美国洛杉矶,198 ms,8943 kB/s
38.148.249.188,9527,TRUE,LAX,北美洲,美国洛杉矶,202 ms,8812 kB/s
38.60.91.12,8484,TRUE,LAX,北美洲,美国洛杉矶,187 ms,8733 kB/s
154.219.126.147,23333,TRUE,LAX,北美洲,美国洛杉矶,170 ms,8556 kB/s
154.23.243.214,9527,TRUE,LAX,北美洲,美国洛杉矶,176 ms,8553 kB/s
38.49.57.7,2443,TRUE,LAX,北美洲,美国洛杉矶,205 ms,8073 kB/s
38.49.59.58,33136,TRUE,LAX,北美洲,美国洛杉矶,177 ms,10775 kB/s
154.219.126.57,23333,TRUE,LAX,北美洲,美国洛杉矶,171 ms,7416 kB/s
38.247.8.232,10023,TRUE,LAX,北美洲,美国洛杉矶,141 ms,4606 kB/s
38.247.8.232,10101,TRUE,LAX,北美洲,美国洛杉矶,141 ms,4496 kB/s
38.247.8.232,10013,TRUE,LAX,北美洲,美国洛杉矶,146 ms,4231 kB/s
38.247.8.232,10065,TRUE,LAX,北美洲,美国洛杉矶,143 ms,4126 kB/s
38.247.8.232,10080,TRUE,LAX,北美洲,美国洛杉矶,144 ms,4064 kB/s
38.247.8.232,10104,TRUE,LAX,北美洲,美国洛杉矶,148 ms,3968 kB/s
38.247.8.232,10038,TRUE,LAX,北美洲,美国洛杉矶,145 ms,3960 kB/s
38.247.8.232,10070,TRUE,LAX,北美洲,美国洛杉矶,143 ms,3799 kB/s
38.247.8.232,10004,TRUE,LAX,北美洲,美国洛杉矶,141 ms,3680 kB/s
38.247.8.232,10073,TRUE,LAX,北美洲,美国洛杉矶,143 ms,3517 kB/s
23.159.248.157,3443,TRUE,LAX,北美洲,美国洛杉矶,201 ms,838 kB/s
154.23.172.19,11000,TRUE,LAX,北美洲,美国洛杉矶,174 ms,627 kB/s
38.47.238.179,10711,TRUE,LAX,北美洲,美国洛杉矶,146 ms,408 kB/s
38.181.42.244,8081,TRUE,LAX,北美洲,美国洛杉矶,142 ms,377 kB/s
