IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
175.29.22.86,35549,true,SIN,亚太,新加坡,155 ms,15731 kB/s
175.29.22.45,35549,true,SIN,亚太,新加坡,174 ms,13682 kB/s
175.29.22.101,35549,true,KUL,亚太,马来西亚吉隆坡,155 ms,13297 kB/s
175.29.22.129,35549,true,KUL,亚太,马来西亚吉隆坡,154 ms,11864 kB/s
175.29.22.71,35549,true,KUL,亚太,马来西亚吉隆坡,154 ms,10671 kB/s
175.29.22.42,35549,true,SIN,亚太,新加坡,174 ms,10640 kB/s
175.29.22.83,35549,true,KUL,亚太,马来西亚吉隆坡,154 ms,9451 kB/s
175.29.22.115,35549,true,SIN,亚太,新加坡,174 ms,9058 kB/s
175.29.22.107,35549,true,SIN,亚太,新加坡,174 ms,9003 kB/s
175.29.22.92,2333,true,SIN,亚太,新加坡,155 ms,8607 kB/s
175.29.22.35,35463,true,BUD,欧洲,匈牙利布达佩斯,174 ms,8329 kB/s
175.29.22.42,35463,true,BUD,欧洲,匈牙利布达佩斯,156 ms,8324 kB/s
175.29.22.106,35549,true,KUL,亚太,马来西亚吉隆坡,174 ms,8011 kB/s
175.29.23.104,8443,true,HKG,亚太,香港,155 ms,7984 kB/s
175.29.22.57,35549,true,KUL,亚太,马来西亚吉隆坡,174 ms,7788 kB/s
175.29.22.87,35549,true,SIN,亚太,新加坡,156 ms,7786 kB/s
175.29.22.80,35549,true,SIN,亚太,新加坡,155 ms,7785 kB/s
151.242.183.166,35549,true,KUL,亚太,马来西亚吉隆坡,174 ms,7662 kB/s
175.29.22.115,35463,true,BUD,欧洲,匈牙利布达佩斯,174 ms,7587 kB/s
175.29.22.17,35463,true,BUD,欧洲,匈牙利布达佩斯,155 ms,7569 kB/s
151.242.183.174,35549,true,SIN,亚太,新加坡,158 ms,7553 kB/s
175.29.22.81,35457,true,VIE,欧洲,奥地利维也纳,174 ms,7541 kB/s
175.29.22.33,35457,true,VIE,欧洲,奥地利维也纳,155 ms,7492 kB/s
175.29.22.52,35463,true,BUD,欧洲,匈牙利布达佩斯,155 ms,7419 kB/s
175.29.22.105,35457,true,VIE,欧洲,奥地利维也纳,154 ms,7398 kB/s
175.29.22.64,35457,true,VIE,欧洲,奥地利维也纳,174 ms,7387 kB/s
175.29.23.104,18443,true,HKG,亚太,香港,155 ms,7372 kB/s
175.29.22.72,35463,true,BUD,欧洲,匈牙利布达佩斯,175 ms,7348 kB/s
175.29.22.71,35457,true,VIE,欧洲,奥地利维也纳,174 ms,7286 kB/s
175.29.22.48,35463,true,BUD,欧洲,匈牙利布达佩斯,175 ms,7202 kB/s
175.29.22.77,35463,true,BUD,欧洲,匈牙利布达佩斯,174 ms,7154 kB/s
175.29.22.56,2333,true,SIN,亚太,新加坡,174 ms,7062 kB/s
175.29.22.63,35457,true,VIE,欧洲,奥地利维也纳,154 ms,7011 kB/s
151.242.183.220,35463,true,BUD,欧洲,匈牙利布达佩斯,174 ms,7006 kB/s
