IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
38.105.25.106,18053,true,LAX,北美洲,美国洛杉矶,1 ms,57949 kB/s
216.105.166.89,39738,true,LAX,北美洲,美国洛杉矶,0 ms,53670 kB/s
23.95.141.19,45306,true,LAX,北美洲,美国洛杉矶,8 ms,49989 kB/s
38.95.116.9,31336,true,LAX,北美洲,美国洛杉矶,3 ms,48915 kB/s
38.105.27.171,57132,true,LAX,北美洲,美国洛杉矶,1 ms,42658 kB/s
23.95.141.96,33527,true,LAX,北美洲,美国洛杉矶,0 ms,39032 kB/s
38.105.25.106,28805,true,LAX,北美洲,美国洛杉矶,1 ms,38770 kB/s
66.92.223.236,50307,true,LAX,北美洲,美国洛杉矶,1 ms,38555 kB/s
38.95.127.150,29833,true,LAX,北美洲,美国洛杉矶,1 ms,36875 kB/s
157.254.227.95,24099,true,EWR,北美洲,美国纽瓦克,67 ms,29960 kB/s
23.95.133.187,35915,true,LAX,北美洲,美国洛杉矶,0 ms,29951 kB/s
38.102.234.158,51695,true,LAX,北美洲,美国洛杉矶,1 ms,29786 kB/s
38.102.234.158,19794,true,LAX,北美洲,美国洛杉矶,1 ms,29725 kB/s
38.102.234.158,46482,true,LAX,北美洲,美国洛杉矶,1 ms,28859 kB/s
38.102.234.158,18295,true,LAX,北美洲,美国洛杉矶,1 ms,27761 kB/s
38.102.234.158,42363,true,LAX,北美洲,美国洛杉矶,2 ms,27560 kB/s
38.102.234.158,24147,true,LAX,北美洲,美国洛杉矶,2 ms,26955 kB/s
38.102.234.158,54563,true,LAX,北美洲,美国洛杉矶,1 ms,26109 kB/s
45.146.82.55,587,true,SEA,北美洲,Seattle,28 ms,25919 kB/s
38.134.58.5,51076,true,LAX,北美洲,美国洛杉矶,1 ms,25130 kB/s
38.105.25.97,15170,true,LAX,北美洲,美国洛杉矶,1 ms,24506 kB/s
38.105.24.28,55684,true,LAX,北美洲,美国洛杉矶,1 ms,24098 kB/s
38.105.29.228,33825,true,LAX,北美洲,美国洛杉矶,7 ms,24017 kB/s
38.95.119.158,25677,true,LAX,北美洲,美国洛杉矶,1 ms,23915 kB/s
38.95.118.32,39738,true,LAX,北美洲,美国洛杉矶,1 ms,23906 kB/s
38.95.118.59,11363,true,LAX,北美洲,美国洛杉矶,1 ms,23821 kB/s
38.95.121.117,10073,true,LAX,北美洲,美国洛杉矶,1 ms,23813 kB/s
38.95.118.223,26713,true,LAX,北美洲,美国洛杉矶,3 ms,23800 kB/s
38.105.25.236,52597,true,LAX,北美洲,美国洛杉矶,1 ms,23790 kB/s
38.95.119.149,28426,true,LAX,北美洲,美国洛杉矶,2 ms,23725 kB/s
38.95.121.117,10101,true,LAX,北美洲,美国洛杉矶,1 ms,23635 kB/s
38.95.121.152,57531,true,LAX,北美洲,美国洛杉矶,1 ms,23621 kB/s
38.105.24.192,29233,true,LAX,北美洲,美国洛杉矶,1 ms,23611 kB/s
38.105.24.24,10070,true,LAX,北美洲,美国洛杉矶,1 ms,23529 kB/s
38.105.27.66,37202,true,LAX,北美洲,美国洛杉矶,1 ms,23521 kB/s
38.95.118.233,24942,true,LAX,北美洲,美国洛杉矶,1 ms,23505 kB/s
38.105.24.24,10038,true,LAX,北美洲,美国洛杉矶,2 ms,23457 kB/s
38.95.121.117,10013,true,LAX,北美洲,美国洛杉矶,1 ms,23250 kB/s
198.23.184.163,34045,true,EWR,北美洲,美国纽瓦克,67 ms,23113 kB/s
38.95.127.81,16274,true,LAX,北美洲,美国洛杉矶,1 ms,23075 kB/s
38.105.24.24,10065,true,LAX,北美洲,美国洛杉矶,1 ms,22953 kB/s
38.95.121.117,10004,true,LAX,北美洲,美国洛杉矶,2 ms,22919 kB/s
198.23.184.141,587,true,EWR,北美洲,美国纽瓦克,67 ms,22866 kB/s
