IP地址,端口,TLS,数据中心,地区,城市,网络延迟
146.235.203.157,443,true,SJC,北美洲,美国圣何塞,8 ms
129.159.47.168,2053,true,SJC,北美洲,美国圣何塞,8 ms
192.9.156.27,39738,true,SJC,北美洲,美国圣何塞,8 ms
64.181.247.243,443,true,SJC,北美洲,美国圣何塞,8 ms
64.181.227.82,443,true,SJC,北美洲,美国圣何塞,8 ms
155.248.193.140,443,true,SJC,北美洲,美国圣何塞,8 ms
138.2.228.125,443,true,SJC,北美洲,美国圣何塞,8 ms
167.234.221.72,443,true,SJC,北美洲,美国圣何塞,8 ms
129.153.213.12,443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.125.108,8443,true,LAX,北美洲,美国洛杉矶,9 ms
158.101.5.192,443,true,LAX,北美洲,美国洛杉矶,9 ms
129.153.194.0,8443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.57.142,8443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.242.248,443,true,LAX,北美洲,美国洛杉矶,9 ms
137.131.4.105,443,true,LAX,北美洲,美国洛杉矶,9 ms
141.148.187.195,443,true,LAX,北美洲,美国洛杉矶,9 ms
158.101.30.153,443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.191.80,443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.47.135,443,true,LAX,北美洲,美国洛杉矶,9 ms
144.24.37.168,443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.138.164,443,true,LAX,北美洲,美国洛杉矶,9 ms
129.146.9.38,443,true,LAX,北美洲,美国洛杉矶,9 ms
141.148.145.112,443,true,LAX,北美洲,美国洛杉矶,10 ms
129.146.163.14,8443,true,LAX,北美洲,美国洛杉矶,10 ms
129.146.165.161,443,true,LAX,北美洲,美国洛杉矶,10 ms
132.226.67.208,443,true,LAX,北美洲,美国洛杉矶,10 ms
129.146.174.117,443,true,LAX,北美洲,美国洛杉矶,10 ms
137.131.29.9,443,true,LAX,北美洲,美国洛杉矶,10 ms
129.146.105.44,8443,true,LAX,北美洲,美国洛杉矶,10 ms
129.146.137.214,443,true,LAX,北美洲,美国洛杉矶,10 ms
141.148.155.60,443,true,LAX,北美洲,美国洛杉矶,10 ms
129.153.214.154,8443,true,LAX,北美洲,美国洛杉矶,10 ms
165.1.66.231,443,true,SJC,北美洲,美国圣何塞,10 ms
159.54.186.189,8443,true,SJC,北美洲,美国圣何塞,10 ms
192.9.157.76,443,true,SJC,北美洲,美国圣何塞,10 ms
64.181.241.96,443,true,SJC,北美洲,美国圣何塞,10 ms
192.9.231.220,8443,true,SJC,北美洲,美国圣何塞,10 ms
132.226.29.245,443,true,LAX,北美洲,美国洛杉矶,11 ms
192.18.133.15,8443,true,SJC,北美洲,美国圣何塞,11 ms
152.70.146.58,443,true,LAX,北美洲,美国洛杉矶,11 ms
152.70.119.78,443,true,SJC,北美洲,美国圣何塞,11 ms
165.1.79.60,8443,true,SJC,北美洲,美国圣何塞,11 ms
144.24.30.113,443,true,LAX,北美洲,美国洛杉矶,12 ms
141.148.158.226,2053,true,LAX,北美洲,美国洛杉矶,12 ms
167.234.219.146,443,true,SJC,北美洲,美国圣何塞,13 ms
165.1.75.221,34237,true,SJC,北美洲,美国圣何塞,13 ms
192.9.230.55,443,true,SJC,北美洲,美国圣何塞,13 ms
146.235.199.164,443,true,SJC,北美洲,美国圣何塞,13 ms
138.2.232.216,8443,true,SJC,北美洲,美国圣何塞,13 ms
150.230.35.200,443,true,SJC,北美洲,美国圣何塞,13 ms
163.192.47.40,443,true,SJC,北美洲,美国圣何塞,13 ms
163.192.47.170,443,true,SJC,北美洲,美国圣何塞,13 ms
