IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.251.88.90,443,true,SJC,北美洲,美国圣何塞,14 ms,62812 kB/s
47.77.239.158,443,true,SJC,北美洲,美国圣何塞,11 ms,62541 kB/s
47.88.100.6,443,true,HKG,亚太,香港,12 ms,40638 kB/s
47.254.57.125,443,true,HKG,亚太,香港,13 ms,40373 kB/s
47.251.183.120,443,true,SJC,北美洲,美国圣何塞,14 ms,29495 kB/s
47.254.21.0,10001,true,SJC,北美洲,美国圣何塞,12 ms,28985 kB/s
47.251.176.161,443,true,SJC,北美洲,美国圣何塞,12 ms,28737 kB/s
47.254.15.111,443,true,SJC,北美洲,美国圣何塞,12 ms,28647 kB/s
47.254.21.0,10000,true,SJC,北美洲,美国圣何塞,11 ms,28494 kB/s
47.251.170.5,443,true,SJC,北美洲,美国圣何塞,12 ms,28384 kB/s
47.88.89.229,443,true,SJC,北美洲,美国圣何塞,11 ms,27586 kB/s
198.11.173.186,443,true,SJC,北美洲,美国圣何塞,84 ms,26541 kB/s
47.90.181.148,443,true,IAD,北美洲,美国阿什伯恩,67 ms,21573 kB/s
8.223.63.189,443,true,HKG,亚太,香港,160 ms,19445 kB/s
47.88.88.99,443,true,SJC,北美洲,美国圣何塞,10 ms,18275 kB/s
47.83.153.253,443,true,SJC,北美洲,美国圣何塞,153 ms,15982 kB/s
8.218.189.27,443,true,HKG,亚太,香港,153 ms,15970 kB/s
43.103.6.144,443,true,HKG,亚太,香港,158 ms,14476 kB/s
47.88.15.127,443,true,SJC,北美洲,美国圣何塞,11 ms,14269 kB/s
47.91.31.4,39738,true,NRT,亚太,日本东京,123 ms,12195 kB/s
8.212.21.219,443,true,SJC,北美洲,美国圣何塞,157 ms,10728 kB/s
8.219.187.220,443,true,SIN,亚太,新加坡,184 ms,10027 kB/s
47.79.43.88,8443,true,NRT,亚太,日本东京,120 ms,9900 kB/s
8.219.116.174,443,true,SIN,亚太,新加坡,188 ms,9880 kB/s
