IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
45.202.241.185,443,true,LAX,北美洲,美国洛杉矶,2 ms,87578 kB/s
45.202.240.191,45009,true,LAX,北美洲,美国洛杉矶,5 ms,67417 kB/s
45.202.242.132,443,true,LAX,北美洲,美国洛杉矶,5 ms,60948 kB/s
45.202.240.234,443,true,LAX,北美洲,美国洛杉矶,1 ms,52292 kB/s
45.202.240.235,8443,true,LAX,北美洲,美国洛杉矶,1 ms,50582 kB/s
45.202.241.10,443,true,LAX,北美洲,美国洛杉矶,5 ms,50160 kB/s
23.158.136.69,25456,true,LAX,北美洲,美国洛杉矶,0 ms,49396 kB/s
45.202.242.163,443,true,LAX,北美洲,美国洛杉矶,4 ms,49363 kB/s
45.202.242.128,443,true,LAX,北美洲,美国洛杉矶,1 ms,48170 kB/s
45.202.242.58,46018,true,LAX,北美洲,美国洛杉矶,1 ms,46635 kB/s
45.202.240.21,44440,true,SJC,北美洲,美国圣何塞,1 ms,46462 kB/s
45.202.243.88,62315,true,LAX,北美洲,美国洛杉矶,1 ms,43679 kB/s
45.202.242.0,57907,true,LAX,北美洲,美国洛杉矶,1 ms,42963 kB/s
45.202.243.159,29365,true,LAX,北美洲,美国洛杉矶,1 ms,40708 kB/s
45.202.242.163,8888,true,LAX,北美洲,美国洛杉矶,1 ms,39599 kB/s
45.202.241.67,443,true,LAX,北美洲,美国洛杉矶,1 ms,39172 kB/s
45.202.240.253,24853,true,LAX,北美洲,美国洛杉矶,1 ms,37497 kB/s
45.202.241.25,24443,true,LAX,北美洲,美国洛杉矶,1 ms,37111 kB/s
45.202.240.107,443,true,LAX,北美洲,美国洛杉矶,1 ms,33759 kB/s
23.158.136.15,443,true,SJC,北美洲,美国圣何塞,1 ms,32514 kB/s
45.202.241.225,443,true,SJC,北美洲,美国圣何塞,1 ms,29682 kB/s
45.202.242.90,4443,true,LAX,北美洲,美国洛杉矶,1 ms,29011 kB/s
45.202.243.164,8443,true,LAX,北美洲,美国洛杉矶,1 ms,28279 kB/s
156.246.90.243,46010,true,NRT,亚太,日本东京,100 ms,19905 kB/s
156.246.89.34,54687,true,NRT,亚太,日本东京,99 ms,19595 kB/s
38.207.130.73,57360,true,TPE,亚太,台北,103 ms,18702 kB/s
45.192.249.200,16356,true,NRT,亚太,日本东京,99 ms,17131 kB/s
156.246.91.216,18551,true,NRT,亚太,日本东京,99 ms,16214 kB/s
23.158.136.71,443,true,LAX,北美洲,美国洛杉矶,5 ms,15900 kB/s
38.207.130.207,8553,true,NRT,亚太,日本东京,106 ms,15876 kB/s
156.246.88.8,46392,true,NRT,亚太,日本东京,106 ms,15722 kB/s
156.246.92.224,12443,true,NRT,亚太,日本东京,106 ms,15711 kB/s
156.246.95.106,33555,true,NRT,亚太,日本东京,106 ms,15237 kB/s
156.246.90.118,32031,true,NRT,亚太,日本东京,102 ms,14142 kB/s
23.158.136.69,32402,true,LAX,北美洲,美国洛杉矶,1 ms,13941 kB/s
23.158.136.159,15532,true,LAX,北美洲,美国洛杉矶,1 ms,13805 kB/s
156.246.91.249,443,true,NRT,亚太,日本东京,100 ms,13805 kB/s
151.242.164.228,59450,true,NRT,亚太,日本东京,100 ms,13432 kB/s
156.246.89.93,443,true,NRT,亚太,日本东京,107 ms,13347 kB/s
38.207.130.73,47315,true,TPE,亚太,台北,103 ms,13228 kB/s
156.246.95.200,42550,true,NRT,亚太,日本东京,99 ms,13168 kB/s
45.207.159.187,443,true,TPE,亚太,台北,128 ms,12984 kB/s
45.207.157.100,16361,true,HKG,亚太,香港,177 ms,12963 kB/s
45.192.248.90,40001,true,NRT,亚太,日本东京,103 ms,12866 kB/s
38.207.130.73,49555,true,TPE,亚太,台北,105 ms,12792 kB/s
156.246.91.187,53506,true,NRT,亚太,日本东京,105 ms,12719 kB/s
38.207.130.207,443,true,NRT,亚太,日本东京,109 ms,12537 kB/s
151.242.164.101,443,true,NRT,亚太,日本东京,109 ms,12531 kB/s
141.11.86.141,46145,true,TPE,亚太,台北,156 ms,12496 kB/s
45.192.248.14,21013,true,NRT,亚太,日本东京,99 ms,12464 kB/s
156.246.93.197,38469,true,NRT,亚太,日本东京,99 ms,12416 kB/s
166.0.199.197,26515,true,TPE,亚太,台北,151 ms,12414 kB/s
156.246.92.53,54154,true,NRT,亚太,日本东京,99 ms,11968 kB/s
141.11.149.251,15426,true,HKG,亚太,香港,167 ms,11939 kB/s
151.242.165.33,32412,true,NRT,亚太,日本东京,99 ms,11810 kB/s
166.0.198.193,443,true,TPE,亚太,台北,150 ms,11746 kB/s
156.246.95.241,11991,true,NRT,亚太,日本东京,99 ms,11576 kB/s
83.147.15.253,443,true,TPE,亚太,台北,128 ms,11538 kB/s
156.246.89.240,443,true,NRT,亚太,日本东京,99 ms,11462 kB/s
83.147.12.154,26649,true,HKG,亚太,香港,153 ms,11314 kB/s
45.192.248.136,45678,true,NRT,亚太,日本东京,102 ms,11308 kB/s
166.0.199.160,45827,true,TPE,亚太,台北,152 ms,11274 kB/s
166.0.199.10,48271,true,TPE,亚太,台北,154 ms,11225 kB/s
156.246.92.204,14050,true,NRT,亚太,日本东京,102 ms,11088 kB/s
