IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
43.103.6.144,443,true,HKG,亚太,香港,5 ms,73911 kB/s
47.239.4.246,443,true,HKG,亚太,香港,3 ms,70855 kB/s
47.239.4.246,2053,true,HKG,亚太,香港,3 ms,69475 kB/s
47.82.98.161,18081,true,HKG,亚太,香港,3 ms,63515 kB/s
8.219.155.125,443,true,NRT,亚太,日本东京,40 ms,59756 kB/s
8.217.180.234,443,true,HKG,亚太,香港,3 ms,59478 kB/s
47.251.88.90,443,true,SJC,北美洲,美国圣何塞,153 ms,54663 kB/s
47.77.239.158,443,true,SJC,北美洲,美国圣何塞,154 ms,53581 kB/s
47.74.13.93,8443,true,NRT,亚太,日本东京,48 ms,51513 kB/s
47.239.4.246,8443,true,HKG,亚太,香港,2 ms,50085 kB/s
8.222.193.153,443,true,NRT,亚太,日本东京,34 ms,50034 kB/s
47.82.155.79,443,true,SIN,亚太,新加坡,33 ms,49716 kB/s
47.245.139.226,443,true,FRA,欧洲,德国法兰克福,193 ms,47045 kB/s
47.82.155.79,2053,true,SIN,亚太,新加坡,36 ms,46826 kB/s
47.82.155.79,8443,true,SIN,亚太,新加坡,35 ms,43233 kB/s
47.245.135.191,443,true,FRA,欧洲,德国法兰克福,190 ms,42588 kB/s
8.209.111.225,443,true,FRA,欧洲,德国法兰克福,186 ms,42470 kB/s
8.209.104.124,443,true,FRA,欧洲,德国法兰克福,191 ms,42418 kB/s
8.209.108.3,443,true,FRA,欧洲,德国法兰克福,281 ms,41537 kB/s
47.245.139.99,443,true,FRA,欧洲,德国法兰克福,192 ms,39831 kB/s
47.245.134.84,443,true,FRA,欧洲,德国法兰克福,187 ms,38759 kB/s
8.209.118.3,443,true,FRA,欧洲,德国法兰克福,280 ms,37755 kB/s
8.209.105.99,443,true,FRA,欧洲,德国法兰克福,193 ms,35833 kB/s
47.74.17.46,443,true,NRT,亚太,日本东京,48 ms,35662 kB/s
8.211.19.24,443,true,FRA,欧洲,德国法兰克福,201 ms,31371 kB/s
47.79.22.67,32628,true,TPE,亚太,台北,4 ms,29849 kB/s
