IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.82.98.161,18081,true,HKG,亚太,香港,3 ms,105843 kB/s
8.222.195.24,14706,true,SIN,亚太,新加坡,34 ms,89671 kB/s
47.79.22.67,32628,true,TPE,亚太,台北,3 ms,30013 kB/s
47.76.60.217,7547,true,HKG,亚太,香港,3 ms,28717 kB/s
8.219.243.83,18377,true,SIN,亚太,新加坡,38 ms,28311 kB/s
47.80.66.91,27015,true,MNL,亚太,Manila,25 ms,28176 kB/s
47.79.94.154,13888,true,NRT,亚太,日本东京,49 ms,28136 kB/s
47.76.60.217,7548,true,HKG,亚太,香港,3 ms,27871 kB/s
8.219.78.44,7445,true,SIN,亚太,新加坡,33 ms,27837 kB/s
8.219.78.44,7451,true,SIN,亚太,新加坡,33 ms,27805 kB/s
47.79.42.30,18443,true,NRT,亚太,日本东京,49 ms,27616 kB/s
47.74.10.218,27015,true,NRT,亚太,日本东京,49 ms,27438 kB/s
47.245.99.66,11001,true,SIN,亚太,新加坡,31 ms,27009 kB/s
47.250.158.102,27015,true,SIN,亚太,新加坡,41 ms,26475 kB/s
47.74.25.192,23333,true,NRT,亚太,日本东京,48 ms,26437 kB/s
47.81.32.147,27015,true,BKK,亚太,曼谷,65 ms,25193 kB/s
47.79.40.51,20244,true,NRT,亚太,日本东京,49 ms,25066 kB/s
47.85.30.213,7547,true,IAD,北美洲,美国阿什伯恩,183 ms,19404 kB/s
47.87.66.91,27015,true,BKK,亚太,曼谷,65 ms,18484 kB/s
47.254.18.134,30000,true,SJC,北美洲,美国圣何塞,241 ms,14131 kB/s
47.254.90.225,20142,true,SJC,北美洲,美国圣何塞,245 ms,12284 kB/s
47.250.189.179,888,true,NRT,亚太,日本东京,43 ms,10585 kB/s
47.253.249.149,10443,true,IAD,北美洲,美国阿什伯恩,183 ms,9682 kB/s
47.88.28.74,20000,true,SJC,北美洲,美国圣何塞,238 ms,8533 kB/s
47.88.21.231,20000,true,SJC,北美洲,美国圣何塞,241 ms,8511 kB/s
47.254.127.40,20000,true,SJC,北美洲,美国圣何塞,243 ms,8326 kB/s
47.251.13.81,20000,true,SJC,北美洲,美国圣何塞,237 ms,8110 kB/s
47.253.210.76,587,true,IAD,北美洲,美国阿什伯恩,184 ms,8028 kB/s
47.89.234.217,20000,true,SJC,北美洲,美国圣何塞,235 ms,7969 kB/s
47.251.88.111,20000,true,SJC,北美洲,美国圣何塞,248 ms,7868 kB/s
47.251.168.90,20000,true,SJC,北美洲,美国圣何塞,240 ms,7365 kB/s
47.251.142.248,20000,true,SJC,北美洲,美国圣何塞,242 ms,7265 kB/s
198.11.177.97,20000,true,SJC,北美洲,美国圣何塞,244 ms,7259 kB/s
47.239.69.137,8440,true,HKG,亚太,香港,3 ms,7246 kB/s
47.89.211.180,20000,true,SJC,北美洲,美国圣何塞,240 ms,6671 kB/s
47.251.1.101,20000,true,SJC,北美洲,美国圣何塞,235 ms,6489 kB/s
8.219.83.252,12563,true,NRT,亚太,日本东京,32 ms,5559 kB/s
47.254.21.0,10001,true,SJC,北美洲,美国圣何塞,242 ms,4595 kB/s
47.254.21.0,9999,true,SJC,北美洲,美国圣何塞,238 ms,4587 kB/s
8.210.126.84,22222,true,HKG,亚太,香港,3 ms,4314 kB/s
8.219.56.26,40011,true,SIN,亚太,新加坡,32 ms,4312 kB/s
8.212.159.150,27015,true,MNL,亚太,Manila,25 ms,4230 kB/s
8.212.131.83,49502,true,HKG,亚太,香港,18 ms,4182 kB/s
47.254.21.0,10000,true,SJC,北美洲,美国圣何塞,241 ms,4101 kB/s
47.90.220.146,59170,true,IAD,北美洲,美国阿什伯恩,184 ms,3825 kB/s
47.252.4.59,38181,true,IAD,北美洲,美国阿什伯恩,183 ms,3230 kB/s
47.252.4.59,15023,true,IAD,北美洲,美国阿什伯恩,185 ms,3215 kB/s
47.87.67.242,27015,true,BKK,亚太,曼谷,66 ms,2850 kB/s
47.89.136.31,36301,true,IAD,北美洲,美国阿什伯恩,183 ms,2535 kB/s
47.88.24.237,10444,true,SJC,北美洲,美国圣何塞,243 ms,1897 kB/s
47.76.61.218,5483,true,HKG,亚太,香港,2 ms,1547 kB/s
149.129.91.58,23779,true,HKG,亚太,香港,2 ms,1202 kB/s
47.88.24.237,10443,true,SJC,北美洲,美国圣何塞,233 ms,1085 kB/s
8.210.96.197,12902,true,HKG,亚太,香港,2 ms,1083 kB/s
47.240.15.210,4432,true,HKG,亚太,香港,5 ms,1055 kB/s
8.218.242.221,27015,true,HKG,亚太,香港,1 ms,816 kB/s
8.211.164.191,32960,true,NRT,亚太,日本东京,49 ms,744 kB/s
47.75.193.125,27004,true,NRT,亚太,日本东京,3 ms,686 kB/s
47.75.193.125,27005,true,NRT,亚太,日本东京,3 ms,678 kB/s
47.237.31.198,32222,true,SIN,亚太,新加坡,31 ms,631 kB/s
47.253.87.21,52315,true,IAD,北美洲,美国阿什伯恩,185 ms,557 kB/s
47.75.193.125,27006,true,NRT,亚太,日本东京,2 ms,552 kB/s
8.210.75.107,2010,true,HKG,亚太,香港,3 ms,479 kB/s
47.243.54.45,18080,true,HKG,亚太,香港,4 ms,473 kB/s
47.240.173.102,9095,true,HKG,亚太,香港,5 ms,472 kB/s
47.242.212.253,587,true,HKG,亚太,香港,2 ms,441 kB/s
47.242.222.42,587,true,HKG,亚太,香港,1 ms,422 kB/s
47.242.145.136,8001,true,HKG,亚太,香港,2 ms,407 kB/s
161.117.249.114,2025,true,HKG,亚太,香港,32 ms,257 kB/s
47.80.73.150,587,true,HKG,亚太,香港,43 ms,219 kB/s
8.219.12.101,27015,true,SIN,亚太,新加坡,32 ms,166 kB/s
47.240.37.64,20045,true,PDX,北美洲,美国波特兰,2 ms,128 kB/s
47.74.254.191,8900,true,SIN,亚太,新加坡,32 ms,62 kB/s
8.217.211.92,59103,true,HKG,亚太,香港,2 ms,41 kB/s
8.210.197.138,587,true,HKG,亚太,香港,2 ms,39 kB/s
8.215.62.115,4443,true,KIX,亚太,大阪,43 ms,28 kB/s
47.236.87.93,20086,true,HKG,亚太,香港,34 ms,25 kB/s
8.211.152.8,449,true,NRT,亚太,日本东京,47 ms,0 kB/s
47.237.64.217,5432,true,SIN,亚太,新加坡,32 ms,0 kB/s
47.91.22.115,449,true,NRT,亚太,日本东京,48 ms,0 kB/s
8.218.36.133,9010,true,HKG,亚太,香港,2 ms,0 kB/s
47.74.21.164,449,true,NRT,亚太,日本东京,48 ms,0 kB/s
47.74.3.18,449,true,NRT,亚太,日本东京,49 ms,0 kB/s
47.74.56.75,449,true,NRT,亚太,日本东京,48 ms,0 kB/s
8.219.78.44,7547,true,SIN,亚太,新加坡,33 ms,0 kB/s
8.219.78.44,7548,true,SIN,亚太,新加坡,33 ms,0 kB/s
