IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
45.78.79.135,443,true,LAX,北美洲,美国洛杉矶,145 ms,138949 kB/s
45.78.79.135,443,true,LAX,北美洲,美国洛杉矶,144 ms,114793 kB/s
74.82.199.200,10344,true,NRT,亚太,日本东京,48 ms,53448 kB/s
104.194.68.142,60010,true,LAX,北美洲,美国洛杉矶,143 ms,52386 kB/s
74.82.199.222,443,true,NRT,亚太,日本东京,48 ms,49313 kB/s
97.64.30.130,443,true,LAX,北美洲,美国洛杉矶,144 ms,46434 kB/s
23.106.129.66,443,true,KIX,亚太,大阪,62 ms,45490 kB/s
104.225.232.22,443,true,LAX,北美洲,美国洛杉矶,143 ms,42942 kB/s
178.157.60.84,443,true,KIX,亚太,大阪,61 ms,42854 kB/s
23.106.128.178,443,true,KIX,亚太,大阪,59 ms,42398 kB/s
104.194.67.102,443,true,LAX,北美洲,美国洛杉矶,143 ms,42106 kB/s
45.78.50.172,10002,true,KIX,亚太,大阪,59 ms,41975 kB/s
23.106.155.178,802,true,LAX,北美洲,美国洛杉矶,143 ms,41517 kB/s
206.190.232.61,10343,true,NRT,亚太,日本东京,59 ms,40814 kB/s
45.78.55.214,443,true,KIX,亚太,大阪,56 ms,40552 kB/s
178.157.60.84,443,true,KIX,亚太,大阪,57 ms,40440 kB/s
23.106.140.134,443,true,KIX,亚太,大阪,56 ms,40374 kB/s
192.243.127.224,443,true,KIX,亚太,大阪,56 ms,39851 kB/s
45.78.55.214,443,true,KIX,亚太,大阪,59 ms,39743 kB/s
97.64.30.130,443,true,LAX,北美洲,美国洛杉矶,144 ms,39742 kB/s
23.106.132.54,443,true,KIX,亚太,大阪,59 ms,39428 kB/s
212.50.245.5,443,true,KIX,亚太,大阪,62 ms,39271 kB/s
104.194.67.125,4433,true,LAX,北美洲,美国洛杉矶,143 ms,38600 kB/s
104.224.152.121,443,true,LAX,北美洲,美国洛杉矶,143 ms,38430 kB/s
104.128.90.90,32770,true,LAX,北美洲,美国洛杉矶,143 ms,37994 kB/s
67.216.205.207,8080,true,LAX,北美洲,美国洛杉矶,152 ms,37580 kB/s
97.64.29.138,443,true,LAX,北美洲,美国洛杉矶,146 ms,36346 kB/s
104.224.154.154,443,true,LAX,北美洲,美国洛杉矶,144 ms,34771 kB/s
45.62.112.250,1443,true,LAX,北美洲,美国洛杉矶,143 ms,34736 kB/s
97.64.29.138,443,true,LAX,北美洲,美国洛杉矶,143 ms,34098 kB/s
104.225.146.252,443,true,LAX,北美洲,美国洛杉矶,143 ms,33276 kB/s
206.190.235.108,443,true,KIX,亚太,大阪,59 ms,33022 kB/s
104.194.67.102,443,true,LAX,北美洲,美国洛杉矶,144 ms,32026 kB/s
23.105.194.212,443,true,LAX,北美洲,美国洛杉矶,143 ms,31929 kB/s
67.230.168.93,443,true,LAX,北美洲,美国洛杉矶,144 ms,30693 kB/s
45.78.44.248,443,true,HKG,亚太,香港,77 ms,28891 kB/s
23.105.194.212,443,true,LAX,北美洲,美国洛杉矶,143 ms,28714 kB/s
45.78.16.2,80,true,HKG,亚太,香港,77 ms,26090 kB/s
45.78.17.62,443,true,HKG,亚太,香港,75 ms,22615 kB/s
45.78.29.27,443,true,HKG,亚太,香港,75 ms,20179 kB/s
104.243.24.51,51004,true,LAX,北美洲,美国洛杉矶,144 ms,19061 kB/s
45.78.44.248,443,true,HKG,亚太,香港,82 ms,18808 kB/s
95.181.189.45,9443,true,LAX,北美洲,美国洛杉矶,146 ms,18560 kB/s
97.64.120.46,443,true,LAX,北美洲,美国洛杉矶,143 ms,17177 kB/s
178.157.56.202,443,true,LAX,北美洲,美国洛杉矶,62 ms,16931 kB/s
67.209.183.236,443,true,LAX,北美洲,美国洛杉矶,143 ms,16915 kB/s
45.78.34.10,8090,true,HKG,亚太,香港,82 ms,16541 kB/s
23.105.195.30,443,true,LAX,北美洲,美国洛杉矶,143 ms,16479 kB/s
23.105.195.30,443,true,LAX,北美洲,美国洛杉矶,143 ms,16365 kB/s
45.62.116.39,443,true,LAX,北美洲,美国洛杉矶,143 ms,15988 kB/s
144.34.233.31,443,true,LAX,北美洲,美国洛杉矶,143 ms,14615 kB/s
104.194.77.210,443,true,LAX,北美洲,美国洛杉矶,143 ms,14601 kB/s
67.230.161.170,443,true,LAX,北美洲,美国洛杉矶,143 ms,14521 kB/s
144.168.56.250,1103,true,LAX,北美洲,美国洛杉矶,143 ms,14494 kB/s
104.194.64.192,443,true,LAX,北美洲,美国洛杉矶,143 ms,14483 kB/s
89.208.245.24,443,true,LAX,北美洲,美国洛杉矶,143 ms,14472 kB/s
198.181.37.103,2083,true,LAX,北美洲,美国洛杉矶,143 ms,14471 kB/s
104.160.44.132,2000,true,LAX,北美洲,美国洛杉矶,143 ms,14470 kB/s
104.194.77.210,443,true,LAX,北美洲,美国洛杉矶,143 ms,14468 kB/s
104.194.64.142,443,true,LAX,北美洲,美国洛杉矶,143 ms,14468 kB/s
104.224.152.132,443,true,LAX,北美洲,美国洛杉矶,143 ms,14465 kB/s
104.224.157.40,443,true,LAX,北美洲,美国洛杉矶,143 ms,14459 kB/s
89.208.247.51,27015,true,LAX,北美洲,美国洛杉矶,143 ms,14455 kB/s
97.64.20.29,443,true,LAX,北美洲,美国洛杉矶,143 ms,14444 kB/s
23.106.154.74,443,true,LAX,北美洲,美国洛杉矶,143 ms,14443 kB/s
89.208.240.132,443,true,LAX,北美洲,美国洛杉矶,151 ms,14432 kB/s
104.194.73.138,443,true,LAX,北美洲,美国洛杉矶,147 ms,14429 kB/s
144.34.230.205,443,true,LAX,北美洲,美国洛杉矶,143 ms,14418 kB/s
144.34.229.146,443,true,LAX,北美洲,美国洛杉矶,143 ms,14418 kB/s
104.243.20.184,443,true,LAX,北美洲,美国洛杉矶,143 ms,14416 kB/s
107.182.17.246,443,true,LAX,北美洲,美国洛杉矶,143 ms,14412 kB/s
144.168.56.119,40864,true,LAX,北美洲,美国洛杉矶,143 ms,14412 kB/s
89.208.253.174,443,true,LAX,北美洲,美国洛杉矶,143 ms,14412 kB/s
67.230.171.167,443,true,LAX,北美洲,美国洛杉矶,144 ms,14408 kB/s
67.216.195.167,443,true,LAX,北美洲,美国洛杉矶,143 ms,14407 kB/s
67.230.160.58,443,true,LAX,北美洲,美国洛杉矶,143 ms,14406 kB/s
104.194.84.83,443,true,LAX,北美洲,美国洛杉矶,143 ms,14402 kB/s
65.49.216.206,7000,true,LAX,北美洲,美国洛杉矶,143 ms,14402 kB/s
104.194.90.225,443,true,LAX,北美洲,美国洛杉矶,143 ms,14399 kB/s
144.34.230.153,9003,true,LAX,北美洲,美国洛杉矶,143 ms,14397 kB/s
144.34.245.152,443,true,LAX,北美洲,美国洛杉矶,143 ms,14392 kB/s
192.243.113.108,443,true,LAX,北美洲,美国洛杉矶,143 ms,14382 kB/s
74.120.174.180,443,true,LAX,北美洲,美国洛杉矶,144 ms,14380 kB/s
95.181.188.76,443,true,LAX,北美洲,美国洛杉矶,143 ms,14377 kB/s
104.194.84.83,443,true,LAX,北美洲,美国洛杉矶,144 ms,14374 kB/s
104.194.66.92,443,true,LAX,北美洲,美国洛杉矶,143 ms,14371 kB/s
104.194.92.32,443,true,LAX,北美洲,美国洛杉矶,143 ms,14357 kB/s
104.194.73.83,8443,true,LAX,北美洲,美国洛杉矶,144 ms,14355 kB/s
23.106.154.209,9418,true,LAX,北美洲,美国洛杉矶,143 ms,14350 kB/s
65.49.222.7,443,true,LAX,北美洲,美国洛杉矶,143 ms,14348 kB/s
23.106.152.36,443,true,LAX,北美洲,美国洛杉矶,143 ms,14339 kB/s
97.64.29.158,443,true,LAX,北美洲,美国洛杉矶,144 ms,14338 kB/s
104.194.83.254,443,true,LAX,北美洲,美国洛杉矶,143 ms,14338 kB/s
104.194.67.14,443,true,LAX,北美洲,美国洛杉矶,143 ms,14331 kB/s
172.96.192.5,443,true,LAX,北美洲,美国洛杉矶,144 ms,14329 kB/s
144.34.233.31,443,true,LAX,北美洲,美国洛杉矶,143 ms,14327 kB/s
97.64.29.158,443,true,LAX,北美洲,美国洛杉矶,143 ms,14323 kB/s
172.96.192.207,49399,true,LAX,北美洲,美国洛杉矶,147 ms,14319 kB/s
104.194.64.192,443,true,LAX,北美洲,美国洛杉矶,143 ms,14313 kB/s
144.34.228.172,443,true,LAX,北美洲,美国洛杉矶,143 ms,14313 kB/s
104.194.64.142,443,true,LAX,北美洲,美国洛杉矶,143 ms,14311 kB/s
144.34.226.224,443,true,LAX,北美洲,美国洛杉矶,143 ms,14303 kB/s
65.49.197.254,443,true,LAX,北美洲,美国洛杉矶,143 ms,14300 kB/s
144.34.236.165,10152,true,LAX,北美洲,美国洛杉矶,143 ms,14296 kB/s
198.181.57.217,9527,true,LAX,北美洲,美国洛杉矶,143 ms,14293 kB/s
74.120.174.180,443,true,LAX,北美洲,美国洛杉矶,143 ms,14287 kB/s
104.194.95.10,443,true,LAX,北美洲,美国洛杉矶,144 ms,14281 kB/s
89.208.254.23,443,true,LAX,北美洲,美国洛杉矶,143 ms,14280 kB/s
65.49.197.29,20443,true,LAX,北美洲,美国洛杉矶,143 ms,14277 kB/s
67.209.182.124,443,true,LAX,北美洲,美国洛杉矶,143 ms,14269 kB/s
107.182.17.246,443,true,LAX,北美洲,美国洛杉矶,143 ms,14266 kB/s
104.194.95.66,443,true,LAX,北美洲,美国洛杉矶,143 ms,14260 kB/s
198.35.44.76,6688,true,LAX,北美洲,美国洛杉矶,143 ms,14259 kB/s
104.194.66.92,443,true,LAX,北美洲,美国洛杉矶,143 ms,14257 kB/s
89.208.250.117,443,true,LAX,北美洲,美国洛杉矶,143 ms,14256 kB/s
178.157.49.113,443,true,LAX,北美洲,美国洛杉矶,143 ms,14248 kB/s
67.230.181.61,27964,true,LAX,北美洲,美国洛杉矶,143 ms,14245 kB/s
66.112.212.182,587,true,LAX,北美洲,美国洛杉矶,143 ms,14244 kB/s
104.160.45.251,8080,true,LAX,北美洲,美国洛杉矶,143 ms,14240 kB/s
23.105.199.91,21626,true,LAX,北美洲,美国洛杉矶,143 ms,14236 kB/s
67.216.205.166,443,true,LAX,北美洲,美国洛杉矶,143 ms,14234 kB/s
65.49.194.165,443,true,LAX,北美洲,美国洛杉矶,143 ms,14233 kB/s
144.34.245.152,443,true,LAX,北美洲,美国洛杉矶,143 ms,14230 kB/s
104.194.73.138,443,true,LAX,北美洲,美国洛杉矶,143 ms,14227 kB/s
172.96.192.5,443,true,LAX,北美洲,美国洛杉矶,149 ms,14220 kB/s
104.194.67.14,443,true,LAX,北美洲,美国洛杉矶,143 ms,14213 kB/s
45.62.116.67,443,true,LAX,北美洲,美国洛杉矶,143 ms,14205 kB/s
144.34.226.100,2053,true,LAX,北美洲,美国洛杉矶,143 ms,14205 kB/s
65.49.211.218,10002,true,LAX,北美洲,美国洛杉矶,143 ms,14203 kB/s
144.34.191.46,17777,true,LAX,北美洲,美国洛杉矶,144 ms,14192 kB/s
97.64.28.210,443,true,LAX,北美洲,美国洛杉矶,143 ms,14183 kB/s
144.34.229.146,443,true,LAX,北美洲,美国洛杉矶,143 ms,14181 kB/s
23.106.154.74,443,true,LAX,北美洲,美国洛杉矶,143 ms,14181 kB/s
107.182.190.159,443,true,LAX,北美洲,美国洛杉矶,143 ms,14177 kB/s
104.194.84.94,443,true,LAX,北美洲,美国洛杉矶,143 ms,14175 kB/s
104.194.81.48,443,true,LAX,北美洲,美国洛杉矶,143 ms,14175 kB/s
104.194.84.94,443,true,LAX,北美洲,美国洛杉矶,143 ms,14171 kB/s
107.182.18.145,1028,true,LAX,北美洲,美国洛杉矶,143 ms,14165 kB/s
144.168.56.119,20079,true,LAX,北美洲,美国洛杉矶,143 ms,14160 kB/s
45.62.119.89,51443,true,LAX,北美洲,美国洛杉矶,144 ms,14158 kB/s
67.216.205.166,443,true,LAX,北美洲,美国洛杉矶,143 ms,14156 kB/s
97.64.20.29,443,true,LAX,北美洲,美国洛杉矶,144 ms,14148 kB/s
104.194.81.48,443,true,LAX,北美洲,美国洛杉矶,143 ms,14145 kB/s
104.225.233.21,443,true,LAX,北美洲,美国洛杉矶,143 ms,14143 kB/s
144.34.226.224,443,true,LAX,北美洲,美国洛杉矶,145 ms,14142 kB/s
66.112.210.7,443,true,LAX,北美洲,美国洛杉矶,143 ms,14138 kB/s
97.64.28.210,443,true,LAX,北美洲,美国洛杉矶,143 ms,14137 kB/s
23.106.152.36,443,true,LAX,北美洲,美国洛杉矶,143 ms,14134 kB/s
107.182.190.159,443,true,LAX,北美洲,美国洛杉矶,143 ms,14132 kB/s
104.194.67.216,443,true,LAX,北美洲,美国洛杉矶,143 ms,14127 kB/s
104.224.159.239,8443,true,LAX,北美洲,美国洛杉矶,143 ms,14126 kB/s
67.230.167.175,8443,true,LAX,北美洲,美国洛杉矶,143 ms,14125 kB/s
104.225.233.21,443,true,LAX,北美洲,美国洛杉矶,143 ms,14117 kB/s
