IP地址,端口号,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,出站IP,IP类型,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
157.22.240.122,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,307 ms,157.22.240.122,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776595782
157.22.240.142,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,308 ms,157.22.240.142,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776595752
193.108.112.48,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,309 ms,193.108.112.48,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776597742
193.108.112.17,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,312 ms,2605:e440:46::24f,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776597735
193.108.112.65,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,306 ms,2605:e440:46::386,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776597706
185.75.243.102,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,264 ms,2a13:9403::e873:99a0:5a08:1,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776597167
45.15.170.107,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,299 ms,2a14:3084::2fa,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776592533
45.15.171.36,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,305 ms,2a14:3084::7d2,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776592503
45.89.60.143,443,TRUE,TIA,AL,Europe,Tirana,欧洲,阿尔巴尼亚,地拉那,????,305 ms,45.89.60.143,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776592541
156.244.43.22,443,TRUE,DXB,QA,Middle East,Dubai,中东,阿拉伯联合酋长国,迪拜,????,167 ms,156.244.43.22,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776595695
92.96.104.107,443,TRUE,DXB,AE,Middle East,Dubai,中东,阿拉伯联合酋长国,迪拜,????,266 ms,2001:8f8:152b:1706:6dc1:918b:be8d:1bc0,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776594347
188.208.110.30,443,TRUE,DXB,AE,Middle East,Dubai,中东,阿拉伯联合酋长国,迪拜,????,155 ms,2a13:8a40::34b,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1776597314
