IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.34.45.78,12345,true,ICN,亚太,韩国首尔,57 ms,42845 kB/s
175.123.172.254,30005,true,ICN,亚太,韩国首尔,62 ms,24946 kB/s
175.123.171.174,30001,true,ICN,亚太,韩国首尔,63 ms,23919 kB/s
175.123.172.254,30001,true,ICN,亚太,韩国首尔,61 ms,23644 kB/s
175.123.171.174,30005,true,ICN,亚太,韩国首尔,61 ms,23207 kB/s
132.145.81.119,9002,true,ICN,亚太,韩国首尔,40 ms,19327 kB/s
131.186.26.191,20000,true,ICN,亚太,韩国首尔,40 ms,18876 kB/s
158.247.250.157,81,true,ICN,亚太,韩国首尔,59 ms,14336 kB/s
138.2.120.74,1777,true,ICN,亚太,韩国首尔,161 ms,14105 kB/s
131.186.24.124,587,true,ICN,亚太,韩国首尔,39 ms,11013 kB/s
211.176.201.223,12999,true,ICN,亚太,韩国首尔,70 ms,10417 kB/s
116.122.120.26,32412,true,ICN,亚太,韩国首尔,69 ms,10361 kB/s
211.178.168.38,10162,true,ICN,亚太,韩国首尔,65 ms,10341 kB/s
113.131.70.51,11001,true,ICN,亚太,韩国首尔,61 ms,10332 kB/s
118.221.130.92,11371,true,ICN,亚太,韩国首尔,67 ms,10305 kB/s
221.159.78.220,37015,true,ICN,亚太,韩国首尔,107 ms,10298 kB/s
58.238.187.113,14534,true,ICN,亚太,韩国首尔,65 ms,10297 kB/s
220.94.22.86,10332,true,ICN,亚太,韩国首尔,77 ms,10294 kB/s
211.108.30.166,50001,true,ICN,亚太,韩国首尔,64 ms,10288 kB/s
222.233.239.86,50001,true,ICN,亚太,韩国首尔,67 ms,10285 kB/s
211.203.40.181,10000,true,ICN,亚太,韩国首尔,80 ms,10274 kB/s
221.164.228.56,36388,true,ICN,亚太,韩国首尔,80 ms,10273 kB/s
211.108.139.100,13503,true,ICN,亚太,韩国首尔,72 ms,10270 kB/s
222.113.157.240,11310,true,ICN,亚太,韩国首尔,78 ms,10269 kB/s
59.12.158.224,20000,true,ICN,亚太,韩国首尔,107 ms,10267 kB/s
211.212.43.153,10250,true,ICN,亚太,韩国首尔,68 ms,10262 kB/s
222.114.61.199,16923,true,ICN,亚太,韩国首尔,87 ms,10261 kB/s
124.111.208.233,16923,true,ICN,亚太,韩国首尔,67 ms,10247 kB/s
220.94.22.86,16010,true,ICN,亚太,韩国首尔,77 ms,10243 kB/s
222.98.237.190,10243,true,ICN,亚太,韩国首尔,105 ms,10238 kB/s
221.156.61.192,10000,true,ICN,亚太,韩国首尔,102 ms,10235 kB/s
211.209.173.213,10001,true,ICN,亚太,韩国首尔,68 ms,10229 kB/s
61.98.58.5,10000,true,ICN,亚太,韩国首尔,78 ms,10207 kB/s
218.52.64.179,30303,true,ICN,亚太,韩国首尔,66 ms,10205 kB/s
59.187.74.76,26470,true,ICN,亚太,韩国首尔,70 ms,10202 kB/s
211.229.26.34,30005,true,ICN,亚太,韩国首尔,101 ms,10200 kB/s
61.98.58.5,10002,true,ICN,亚太,韩国首尔,85 ms,10199 kB/s
222.98.237.190,32771,true,ICN,亚太,韩国首尔,109 ms,10198 kB/s
116.121.91.167,34599,true,ICN,亚太,韩国首尔,67 ms,10197 kB/s
222.112.25.76,20880,true,ICN,亚太,韩国首尔,73 ms,10190 kB/s
106.252.169.10,25355,true,ICN,亚太,韩国首尔,80 ms,10187 kB/s
1.177.113.244,32412,true,ICN,亚太,韩国首尔,59 ms,10184 kB/s
39.117.92.22,13666,true,ICN,亚太,韩国首尔,68 ms,10184 kB/s
125.141.32.222,14430,true,ICN,亚太,韩国首尔,75 ms,10172 kB/s
123.111.28.66,14534,true,ICN,亚太,韩国首尔,72 ms,10170 kB/s
106.252.169.10,32412,true,ICN,亚太,韩国首尔,75 ms,10157 kB/s
222.114.61.199,32768,true,ICN,亚太,韩国首尔,79 ms,10151 kB/s
39.116.71.182,18086,true,ICN,亚太,韩国首尔,84 ms,10148 kB/s
106.246.54.30,23791,true,ICN,亚太,韩国首尔,74 ms,10147 kB/s
125.130.110.69,10005,true,ICN,亚太,韩国首尔,71 ms,10144 kB/s
110.9.4.54,50001,true,ICN,亚太,韩国首尔,66 ms,10143 kB/s
180.71.166.188,14147,true,ICN,亚太,韩国首尔,84 ms,10142 kB/s
113.131.70.51,18889,true,ICN,亚太,韩国首尔,61 ms,10137 kB/s
221.150.172.26,28080,true,ICN,亚太,韩国首尔,81 ms,10136 kB/s
106.252.169.10,10035,true,ICN,亚太,韩国首尔,83 ms,10136 kB/s
211.108.139.100,10003,true,ICN,亚太,韩国首尔,71 ms,10134 kB/s
39.116.71.182,37020,true,ICN,亚太,韩国首尔,88 ms,10132 kB/s
211.219.39.209,13579,true,ICN,亚太,韩国首尔,71 ms,10130 kB/s
222.98.237.190,15000,true,ICN,亚太,韩国首尔,77 ms,10127 kB/s
211.185.55.229,11434,true,ICN,亚太,韩国首尔,75 ms,10126 kB/s
115.40.46.173,10795,true,ICN,亚太,韩国首尔,62 ms,10119 kB/s
58.121.14.122,14534,true,ICN,亚太,韩国首尔,78 ms,10115 kB/s
116.123.6.19,25000,true,ICN,亚太,韩国首尔,80 ms,10112 kB/s
220.120.194.250,18853,true,ICN,亚太,韩国首尔,98 ms,10109 kB/s
211.228.64.93,27451,true,ICN,亚太,韩国首尔,75 ms,10109 kB/s
114.203.96.76,12000,true,ICN,亚太,韩国首尔,72 ms,10108 kB/s
175.212.199.208,25565,true,ICN,亚太,韩国首尔,74 ms,10099 kB/s
116.121.184.98,10001,true,ICN,亚太,韩国首尔,71 ms,10091 kB/s
121.129.33.208,11965,true,ICN,亚太,韩国首尔,100 ms,10090 kB/s
121.135.12.188,16922,true,ICN,亚太,韩国首尔,68 ms,10089 kB/s
39.117.246.16,29876,true,ICN,亚太,韩国首尔,76 ms,10083 kB/s
125.136.32.130,18081,true,ICN,亚太,韩国首尔,78 ms,10082 kB/s
222.112.173.127,11434,true,ICN,亚太,韩国首尔,74 ms,10079 kB/s
218.238.105.140,20201,true,ICN,亚太,韩国首尔,75 ms,10074 kB/s
110.12.52.95,10162,true,ICN,亚太,韩国首尔,82 ms,10070 kB/s
118.36.172.136,12203,true,ICN,亚太,韩国首尔,115 ms,10066 kB/s
61.98.58.5,26257,true,ICN,亚太,韩国首尔,66 ms,10065 kB/s
114.207.99.233,11434,true,ICN,亚太,韩国首尔,65 ms,10062 kB/s
1.221.122.2,50000,true,ICN,亚太,韩国首尔,72 ms,10062 kB/s
61.73.97.119,10035,true,ICN,亚太,韩国首尔,73 ms,10060 kB/s
222.97.71.115,28017,true,ICN,亚太,韩国首尔,110 ms,10058 kB/s
221.157.139.47,12000,true,ICN,亚太,韩国首尔,76 ms,10054 kB/s
118.39.215.59,10000,true,ICN,亚太,韩国首尔,77 ms,10048 kB/s
218.37.77.68,27017,true,ICN,亚太,韩国首尔,79 ms,10039 kB/s
218.157.158.21,28017,true,ICN,亚太,韩国首尔,82 ms,10037 kB/s
211.228.207.178,10002,true,ICN,亚太,韩国首尔,81 ms,10030 kB/s
211.219.39.209,10000,true,ICN,亚太,韩国首尔,74 ms,10020 kB/s
175.126.136.65,10333,true,ICN,亚太,韩国首尔,82 ms,10018 kB/s
221.163.35.103,10000,true,ICN,亚太,韩国首尔,74 ms,10017 kB/s
125.137.246.135,20201,true,ICN,亚太,韩国首尔,70 ms,10015 kB/s
121.138.88.77,14430,true,ICN,亚太,韩国首尔,99 ms,10014 kB/s
175.212.140.133,11965,true,ICN,亚太,韩国首尔,77 ms,10008 kB/s
221.167.233.79,12300,true,ICN,亚太,韩国首尔,94 ms,10008 kB/s
123.214.155.140,32773,true,ICN,亚太,韩国首尔,82 ms,10005 kB/s
121.191.68.246,11371,true,ICN,亚太,韩国首尔,82 ms,10005 kB/s
121.124.114.17,32771,true,ICN,亚太,韩国首尔,92 ms,10003 kB/s
39.114.198.93,16993,true,ICN,亚太,韩国首尔,97 ms,9997 kB/s
211.219.198.151,19071,true,ICN,亚太,韩国首尔,72 ms,9996 kB/s
121.175.182.146,30005,true,ICN,亚太,韩国首尔,72 ms,9995 kB/s
222.97.135.19,20880,true,ICN,亚太,韩国首尔,76 ms,9989 kB/s
