IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
43.153.16.136,4333,true,SJC,北美洲,美国圣何塞,158 ms,83382 kB/s
43.153.27.246,4333,true,SJC,北美洲,美国圣何塞,158 ms,53120 kB/s
43.160.244.124,443,true,SIN,亚太,新加坡,30 ms,26497 kB/s
129.226.163.56,8388,true,HKG,亚太,香港,2 ms,26215 kB/s
43.161.217.205,1443,true,HKG,亚太,香港,3 ms,26143 kB/s
43.160.207.175,443,true,SIN,亚太,新加坡,30 ms,26047 kB/s
43.161.221.27,443,true,HKG,亚太,香港,2 ms,25964 kB/s
43.160.208.103,443,true,SIN,亚太,新加坡,37 ms,25873 kB/s
43.161.238.135,8443,true,HKG,亚太,香港,2 ms,25463 kB/s
43.161.239.49,10001,true,HKG,亚太,香港,2 ms,25299 kB/s
43.161.222.233,443,true,HKG,亚太,香港,1 ms,25204 kB/s
43.161.217.205,2443,true,HKG,亚太,香港,2 ms,25174 kB/s
43.160.207.33,443,true,SIN,亚太,新加坡,30 ms,25113 kB/s
101.32.74.224,12817,true,HKG,亚太,香港,2 ms,24865 kB/s
43.134.174.114,443,true,SIN,亚太,新加坡,31 ms,24374 kB/s
43.133.23.88,8388,true,NRT,亚太,日本东京,48 ms,23921 kB/s
43.165.195.160,443,true,SIN,亚太,新加坡,45 ms,23852 kB/s
43.165.190.11,42841,true,NRT,亚太,日本东京,50 ms,23806 kB/s
43.165.188.165,8443,true,NRT,亚太,日本东京,52 ms,21056 kB/s
43.133.229.220,443,true,ICN,亚太,韩国首尔,164 ms,16243 kB/s
43.162.119.244,443,true,SJC,北美洲,美国圣何塞,153 ms,13115 kB/s
43.162.120.155,443,true,SJC,北美洲,美国圣何塞,153 ms,12112 kB/s
43.164.133.86,8443,true,ICN,亚太,韩国首尔,164 ms,11338 kB/s
43.133.110.81,443,true,BKK,亚太,曼谷,56 ms,10976 kB/s
43.135.30.215,5700,true,HKG,亚太,香港,2 ms,4131 kB/s
101.32.41.135,36306,true,HKG,亚太,香港,1 ms,4129 kB/s
43.129.196.74,8083,true,HKG,亚太,香港,3 ms,4126 kB/s
101.32.15.176,26257,true,HKG,亚太,香港,2 ms,4121 kB/s
101.32.15.176,26470,true,HKG,亚太,香港,3 ms,4120 kB/s
101.32.15.176,26214,true,HKG,亚太,香港,3 ms,4083 kB/s
43.154.4.49,443,true,HKG,亚太,香港,1 ms,4023 kB/s
43.134.87.15,443,true,SIN,亚太,新加坡,30 ms,4013 kB/s
43.156.36.246,6601,true,SIN,亚太,新加坡,31 ms,3834 kB/s
43.156.159.240,443,true,SIN,亚太,新加坡,31 ms,3739 kB/s
101.32.244.117,443,true,SIN,亚太,新加坡,30 ms,3733 kB/s
101.32.15.176,26555,true,HKG,亚太,香港,2 ms,3695 kB/s
43.128.249.230,8443,true,NRT,亚太,日本东京,47 ms,3683 kB/s
43.133.216.147,443,true,NRT,亚太,日本东京,51 ms,3663 kB/s
43.153.174.179,7005,true,NRT,亚太,日本东京,50 ms,3659 kB/s
43.133.166.232,5450,true,NRT,亚太,日本东京,51 ms,3651 kB/s
43.163.109.39,443,true,SIN,亚太,新加坡,32 ms,3641 kB/s
43.156.72.245,443,true,SIN,亚太,新加坡,31 ms,3633 kB/s
43.153.206.239,27015,true,SIN,亚太,新加坡,32 ms,3631 kB/s
43.163.90.17,443,true,SIN,亚太,新加坡,31 ms,3557 kB/s
43.128.37.98,443,true,HKG,亚太,香港,2 ms,3474 kB/s
170.106.170.87,444,true,SJC,北美洲,美国圣何塞,153 ms,3289 kB/s
101.32.116.73,443,true,SIN,亚太,新加坡,31 ms,3253 kB/s
43.135.165.80,30023,true,SJC,北美洲,美国圣何塞,158 ms,3245 kB/s
43.153.61.80,40874,true,SJC,北美洲,美国圣何塞,155 ms,3178 kB/s
170.106.84.131,443,true,SJC,北美洲,美国圣何塞,154 ms,3041 kB/s
43.155.187.201,443,true,ICN,亚太,韩国首尔,165 ms,3028 kB/s
43.153.84.176,1122,true,SJC,北美洲,美国圣何塞,153 ms,2994 kB/s
124.156.137.34,443,true,IAD,北美洲,美国阿什伯恩,2 ms,2966 kB/s
43.135.134.197,443,true,SJC,北美洲,美国圣何塞,155 ms,2891 kB/s
170.106.109.59,587,true,SJC,北美洲,美国圣何塞,155 ms,2832 kB/s
170.106.105.104,443,true,SJC,北美洲,美国圣何塞,156 ms,2753 kB/s
43.153.84.176,520,true,SJC,北美洲,美国圣何塞,158 ms,2723 kB/s
43.153.84.105,12304,true,SJC,北美洲,美国圣何塞,154 ms,2688 kB/s
43.133.26.158,443,true,NRT,亚太,日本东京,51 ms,2673 kB/s
43.132.225.26,443,true,HKG,亚太,香港,2 ms,2547 kB/s
43.132.185.96,5443,true,HKG,亚太,香港,2 ms,2356 kB/s
43.155.186.100,446,true,ICN,亚太,韩国首尔,159 ms,2242 kB/s
162.62.120.236,20443,true,FRA,欧洲,德国法兰克福,282 ms,1861 kB/s
43.132.244.52,21415,true,HKG,亚太,香港,2 ms,366 kB/s
43.167.157.65,12345,true,NRT,亚太,日本东京,51 ms,246 kB/s
43.160.195.223,443,true,SIN,亚太,新加坡,30 ms,205 kB/s
43.154.189.47,443,true,HKG,亚太,香港,10 ms,127 kB/s
43.160.247.81,443,true,SIN,亚太,新加坡,30 ms,87 kB/s
43.165.191.25,16837,true,NRT,亚太,日本东京,52 ms,63 kB/s
43.161.216.173,8443,true,HKG,亚太,香港,5 ms,58 kB/s
43.160.248.66,8443,true,SIN,亚太,新加坡,30 ms,1 kB/s
43.153.189.80,995,true,NRT,亚太,日本东京,51 ms,0 kB/s
43.160.251.110,443,true,SIN,亚太,新加坡,31 ms,0 kB/s
43.162.125.210,443,true,SJC,北美洲,美国圣何塞,158 ms,0 kB/s
43.128.123.74,443,true,SIN,亚太,新加坡,31 ms,0 kB/s
43.162.121.208,443,true,SJC,北美洲,美国圣何塞,155 ms,0 kB/s
