IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
57.128.177.206,8443,true,LHR,欧洲,英国伦敦,140 ms,22364 kB/s
89.125.85.228,443,true,AMS,欧洲,荷兰阿姆斯特丹,146 ms,22105 kB/s
5.252.78.20,443,true,LHR,欧洲,英国伦敦,135 ms,21901 kB/s
31.58.102.167,443,true,CDG,欧洲,法国巴黎,147 ms,21700 kB/s
104.194.144.105,443,true,LHR,欧洲,英国伦敦,133 ms,21324 kB/s
57.128.178.232,443,true,LHR,欧洲,英国伦敦,133 ms,21192 kB/s
51.91.253.83,443,true,CDG,欧洲,法国巴黎,154 ms,20965 kB/s
2.27.45.232,443,true,FRA,欧洲,德国法兰克福,153 ms,20667 kB/s
217.69.12.101,443,true,CDG,欧洲,法国巴黎,144 ms,20658 kB/s
64.176.186.194,443,true,MAN,欧洲,英国曼彻斯特,140 ms,20364 kB/s
5.230.68.243,443,true,FRA,欧洲,德国法兰克福,147 ms,20355 kB/s
51.241.130.119,443,true,LHR,欧洲,英国伦敦,127 ms,20332 kB/s
5.231.18.206,8443,true,FRA,欧洲,德国法兰克福,144 ms,20205 kB/s
51.158.148.82,443,true,AMS,欧洲,荷兰阿姆斯特丹,141 ms,20061 kB/s
5.255.123.63,443,true,AMS,欧洲,荷兰阿姆斯特丹,150 ms,20057 kB/s
194.59.9.14,443,true,FRA,欧洲,德国法兰克福,148 ms,19633 kB/s
84.32.96.72,443,true,AMS,欧洲,荷兰阿姆斯特丹,146 ms,19494 kB/s
66.151.42.85,443,true,AMS,欧洲,荷兰阿姆斯特丹,143 ms,19437 kB/s
194.59.9.26,443,true,FRA,欧洲,德国法兰克福,148 ms,19208 kB/s
77.239.98.141,8443,true,FRA,欧洲,德国法兰克福,146 ms,18935 kB/s
194.59.9.27,443,true,FRA,欧洲,德国法兰克福,153 ms,18868 kB/s
89.124.90.70,443,true,AMS,欧洲,荷兰阿姆斯特丹,141 ms,18840 kB/s
147.90.15.191,443,true,AMS,欧洲,荷兰阿姆斯特丹,149 ms,18661 kB/s
193.163.201.64,8443,true,LHR,欧洲,英国伦敦,151 ms,18592 kB/s
95.179.252.163,443,true,FRA,欧洲,德国法兰克福,147 ms,18581 kB/s
57.129.137.196,443,true,LHR,欧洲,英国伦敦,154 ms,18401 kB/s
45.84.222.151,443,true,AMS,欧洲,荷兰阿姆斯特丹,163 ms,18171 kB/s
213.108.20.151,443,true,FRA,欧洲,德国法兰克福,145 ms,18157 kB/s
77.220.214.135,443,true,AMS,欧洲,荷兰阿姆斯特丹,156 ms,18034 kB/s
194.87.31.221,8443,true,AMS,欧洲,荷兰阿姆斯特丹,147 ms,18028 kB/s
45.77.64.64,443,true,FRA,欧洲,德国法兰克福,152 ms,17986 kB/s
84.200.77.156,443,true,FRA,欧洲,德国法兰克福,158 ms,17973 kB/s
95.179.153.156,443,true,AMS,欧洲,荷兰阿姆斯特丹,140 ms,17898 kB/s
45.153.48.157,443,true,CPH,欧洲,丹麦哥本哈根,166 ms,17786 kB/s
148.153.247.138,443,true,FRA,欧洲,德国法兰克福,154 ms,17690 kB/s
185.112.59.106,443,true,AMS,欧洲,荷兰阿姆斯特丹,148 ms,17667 kB/s
89.116.72.43,443,true,FRA,欧洲,德国法兰克福,153 ms,17609 kB/s
193.233.127.153,443,true,AMS,欧洲,荷兰阿姆斯特丹,156 ms,17594 kB/s
84.32.101.28,8443,true,AMS,欧洲,荷兰阿姆斯特丹,151 ms,17558 kB/s
193.180.209.21,443,true,CPH,欧洲,丹麦哥本哈根,156 ms,17553 kB/s
31.25.88.11,443,true,FRA,欧洲,德国法兰克福,150 ms,17518 kB/s
193.180.215.69,443,true,CPH,欧洲,丹麦哥本哈根,163 ms,17342 kB/s
5.230.66.172,443,true,FRA,欧洲,德国法兰克福,148 ms,17204 kB/s
57.128.183.248,8443,true,LHR,欧洲,英国伦敦,131 ms,17151 kB/s
57.129.137.61,443,true,LHR,欧洲,英国伦敦,151 ms,17111 kB/s
45.144.51.133,8443,true,WAW,欧洲,波兰华沙,161 ms,16989 kB/s
192.248.185.180,443,true,FRA,欧洲,德国法兰克福,153 ms,16966 kB/s
77.239.98.192,8443,true,FRA,欧洲,德国法兰克福,154 ms,16943 kB/s
194.59.9.24,443,true,FRA,欧洲,德国法兰克福,147 ms,16866 kB/s
57.128.177.235,8443,true,LHR,欧洲,英国伦敦,130 ms,16794 kB/s
194.87.77.57,8443,true,FRA,欧洲,德国法兰克福,154 ms,16780 kB/s
93.190.247.123,443,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,16767 kB/s
193.180.213.29,8443,true,CPH,欧洲,丹麦哥本哈根,164 ms,16694 kB/s
198.105.112.90,8443,true,AMS,欧洲,荷兰阿姆斯特丹,146 ms,16478 kB/s
193.180.211.155,443,true,CPH,欧洲,丹麦哥本哈根,164 ms,16467 kB/s
45.143.166.96,443,true,BRU,欧洲,Brussels,150 ms,16297 kB/s
51.91.252.44,8443,true,CDG,欧洲,法国巴黎,160 ms,16272 kB/s
169.40.4.32,443,true,VNO,欧洲,立陶宛维尔纽斯,168 ms,16265 kB/s
