23.27.28.98:443#MY 6.05MB/s 97.7ms 3 [AS149440 | Evoxt Sdn. Bhd. - evoxt.com | Malaysia | AS-Asia]
23.133.52.10:2053#HK 5.58MB/s 54.4ms 7 [AS15012 | NextStage Innovations LLC - triolab.io | Hong Kong | AS-Asia]
103.26.8.222:443#SG 5.27MB/s 99.0ms 3 [AS36002 | GoMami Networks - gomami.io | Singapore | AS-Asia]
108.162.198.157:443#US 4.75MB/s 75.0ms 3 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
154.31.117.239:443#JP 4.60MB/s 51.7ms 3 [AS32519 | DMIT Cloud Services - dmit.com | Japan | AS-Asia]
162.159.45.107:443#US 4.56MB/s 70.3ms 3 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
162.159.39.152:443#US 4.34MB/s 72.0ms 3 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
162.159.44.25:443#US 6.51MB/s 77.0ms 2 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
162.159.42.214:8443#US 5.98MB/s 85.0ms 2 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
162.159.38.72:443#US 4.78MB/s 70.5ms 2 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
205.186.67.52:2053#MY 4.45MB/s 88.5ms 2 [AS149440 | Evoxt Sdn. Bhd. - evoxt.com | Malaysia | AS-Asia]
162.159.38.0:443#US 4.44MB/s 80.0ms 2 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
172.64.52.127:443#US 4.37MB/s 84.5ms 2 [AS13335 | Cloudflare, Inc. - cloudflare.com | United States | NA-North America]
